City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Mehamn,NO,71.0357,27.8492,30.15,86,0,11.5,clear sky
80,Ballina,AU,-28.8667,153.5667,61.02,99,100,19.37,light rain
81,Nicoya,CR,10.1483,-85.452,70.21,83,97,7.67,overcast clouds
82,Provideniya,RU,64.3833,-173.3,24.03,82,94,3.4,overcast clouds
83,Poum,NC,-20.2333,164.0167,82.06,82,97,8.77,overcast clouds
84,Naze,JP,28.3667,129.4833,59.16,74,99,20.71,overcast clouds
85,Qaqortoq,GL,60.7167,-46.0333,17.69,84,81,6.26,broken clouds
86,Port Dover,CA,42.7834,-80.1997,29.59,74,52,25.41,broken clouds
87,Aktau,KZ,43.65,51.2,32.58,23,3,10.51,clear sky
88,Tombouctou,ML,20.0,-3.0,67.87,19,93,8.28,overcast clouds
89,Katsuura,JP,35.1333,140.3,54.0,85,100,18.14,overcast clouds
90,Geraldton,AU,-28.7667,114.6,73.81,56,75,13.8,broken clouds
91,Kavaratti,IN,10.5669,72.642,81.91,70,9,3.51,clear sky
92,Hermanus,ZA,-34.4187,19.2345,73.8,74,79,8.55,broken clouds
93,Biskamzha,RU,53.4497,89.5272,9.52,66,0,0.72,clear sky
94,Saskylakh,RU,71.9167,114.0833,-35.25,99,44,4.92,scattered clouds
95,Guane,CU,22.2025,-84.0875,72.37,95,100,6.73,overcast clouds
96,Saint-Augustin,CA,51.226,-58.6502,29.07,78,100,14.36,overcast clouds
97,Burnie,AU,-41.0667,145.9167,61.95,57,4,8.9,clear sky
98,San Patricio,US,28.017,-97.5169,55.26,66,18,9.51,few clouds
99,Pavilosta,LV,56.8879,21.1859,31.91,89,100,8.39,overcast clouds
100,Chokurdakh,RU,70.6333,147.9167,-4.58,99,100,8.34,snow
101,Phan Thiet,VN,10.9333,108.1,85.17,69,98,15.79,overcast clouds
102,Severo-Kurilsk,RU,50.6789,156.125,26.11,85,75,11.63,snow
103,Codrington,AU,-38.2667,141.9667,57.45,79,6,12.71,clear sky
104,Belyy Yar,RU,53.6039,91.3903,-5.91,77,35,0.0,scattered clouds
105,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,72,75,5.75,broken clouds
106,Sitka,US,57.0531,-135.33,26.49,46,100,4.61,overcast clouds
107,Tailai,CN,46.3833,123.4,0.75,75,0,7.65,clear sky
108,Norman Wells,CA,65.282,-126.8329,5.9,97,100,1.05,light snow
109,Kavos,GR,38.8268,22.8322,55.53,82,97,5.21,overcast clouds
110,Buckeye,US,33.3703,-112.5838,53.83,65,20,6.91,haze
111,Airai,TL,-8.9266,125.4092,66.06,86,100,2.59,overcast clouds
112,Grindavik,IS,63.8424,-22.4338,41.47,81,75,26.46,broken clouds
113,Praia,CV,14.9215,-23.5087,73.29,68,81,13.33,broken clouds
114,Tasiilaq,GL,65.6145,-37.6368,42.96,81,100,11.83,light rain
115,Iralaya,HN,15.0,-83.2333,78.08,83,6,11.81,light rain
116,Khatanga,RU,71.9667,102.5,-8.0,98,100,12.73,light snow
117,Mount Gambier,AU,-37.8333,140.7667,60.58,71,0,11.5,clear sky
118,Salalah,OM,17.0151,54.0924,82.49,61,20,11.5,few clouds
119,Evanston,US,42.0411,-87.6901,19.96,71,0,9.22,clear sky
120,Coronado,US,32.6859,-117.1831,56.41,75,75,4.61,haze
121,Russell,US,32.3502,-85.1999,42.4,42,0,10.36,clear sky
122,Gao,ML,16.6362,1.637,75.85,19,99,12.12,overcast clouds
123,Yar-Sale,RU,66.8333,70.8333,-6.38,93,11,7.7,few clouds
124,Nybro,SE,56.7446,15.9071,37.04,98,100,3.74,overcast clouds
125,Santa Cruz Del Norte,CU,23.1539,-81.9236,77.18,84,27,10.98,scattered clouds
126,Oyon,PE,-10.6681,-76.7731,40.86,88,90,2.17,overcast clouds
127,Mount Isa,AU,-20.7333,139.5,91.17,14,0,16.11,clear sky
128,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,41.61,93,100,9.78,light rain
129,Bandarbeyla,SO,9.4942,50.8122,81.59,71,27,18.57,scattered clouds
130,East London,ZA,-33.0153,27.9116,79.25,69,100,8.3,overcast clouds
131,Nelson Bay,AU,-32.7167,152.15,67.08,74,100,7.0,overcast clouds
